Account,date,daily_pnl,trades,fg_value,profit_bucket,next_day_bucket,Cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,76.0,Neutral,Neutral,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,90.0,Neutral,Neutral,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,83.0,Neutral,Loss,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,94.0,Loss,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,79.0,Profit,Loss,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,77.0,Loss,Neutral,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,84.0,Neutral,Loss,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,72.0,Loss,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,77.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,76.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,60.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,44.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,72.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,54.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,46.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,43.0,Profit,Neutral,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,47.0,Neutral,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,49.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,25.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,16.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,20.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,33.0,Profit,Profit,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,45.0,Profit,Profit,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,84.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,81.0,Neutral,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,72.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,75.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,78.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,78.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,81.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,75.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,74.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,61.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,75.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,77.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,77.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,75.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,75.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,71.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,72.0,Profit,Neutral,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,72.0,Neutral,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,70.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,68.0,Profit,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,60.0,Profit,Loss,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,47.0,Loss,Profit,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,46.0,Profit,Profit,1
